,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
12,biota,I-UR10,Donostia (puente del Kursaal) (Moluscos),43.3244369,-1.9800989,29,983
1,biota,I-B10,Plentzia (desembocadura) (Moluscos),43.4114365,-2.9495939,28,978
546,phytoplankton,E-B10,Plentzia (Puerto),43.4076,-2.9463,17,976
7,biota,I-N20,Getxo (Ibaizabal) (Moluscos),43.3405169,-3.0229962,29,974
9,biota,I-OI10,Pasaia (desembocadura) (Moluscos),43.3327795,-1.9264733,28,974
90,invertebrates,L-L10,Litoral de Elantxobe (Kai Arri),43.4025731,-2.5851273,28,967
565,phytoplankton,E-OI10,Lezo,43.3228,-1.9038,21,966
103,invertebrates,L-UR20,Litoral de Mompás,43.3389036,-1.9547765,28,962
0,biota,I-A10,Ondarroa (Moluscos),43.3250088,-2.4178904,29,952
622,sediments,E-OK20,,,,0,920
549,phytoplankton,E-BI10,Irun (Amute),43.3522,-1.7913,21,910
568,phytoplankton,E-OK10,Murueta (Astillero),43.3647,-2.6841,21,886
560,phytoplankton,E-N17,Leioa (Lamiako),43.3156,-2.9977,16,884
548,phytoplankton,E-B7,Plentzia (Campo de fútbol),43.3979,-2.9442,17,859
95,invertebrates,L-O20,Litoral de Getaria,43.3155734,-2.18011,21,843
628,sediments,E-UR5,,,,0,840
608,sediments,E-L5,,,,0,840
617,sediments,E-O5,,,,0,840
606,sediments,E-D5,,,,0,840
604,sediments,E-BI5,,,,0,840
640,sediments,L-O20,,,,0,840
644,sediments,L-RF10,,,,0,840
610,sediments,E-M5,,,,0,839
623,sediments,E-OK5,,,,0,839
601,sediments,E-B7,,,,0,839
600,sediments,E-B5,,,,0,839
626,sediments,E-U8,,,,0,839
625,sediments,E-U5,,,,0,832
91,invertebrates,L-L20,Litoral de Lekeitio,43.3729133,-2.4896299,20,830
642,sediments,L-OI20,,,,0,825
743,water,E-OI20LB,Pasaia (San Pedro). Low Tide. Bottom,43.3263,-1.9212,29,811
598,sediments,E-A5,,,,0,807
556,phytoplankton,E-M10,Pobeña (puente),43.3469,-3.1216,17,804
85,invertebrates,L-A10,Litoral de Ondarroa,43.3359057,-2.4024526,25,802
636,sediments,L-L20,,,,0,799
98,invertebrates,L-OK10,Litoral de Mundaka,43.440908,-2.7016305,28,792
88,invertebrates,L-BI10,Litoral de Hondarribia,43.3967365,-1.8021212,28,744
92,invertebrates,L-N10,Litoral del Abra (Frente al Superpuerto),43.3825769,-3.0819745,28,743
544,phytoplankton,E-A10,Ondarroa (Embarcadero),43.3199,-2.421,17,728
793,water,L-N20B,Litoral de Sopelana. Bottom,43.3992,-3.0206,28,702
791,water,L-N10B,Litoral del Abra (Frente al Superpuerto). Bottom,43.3826,-3.082,28,702
811,water,L-U10B,Litoral de Zumaia. Bottom,43.3172,-2.2426,28,700
799,water,L-OI10B,Litoral de Pasaia. Bottom,43.3376,-1.9324,28,700
779,water,L-B10B,Litoral de Gorliz (Cabo Villano). Bottom,43.4371,-2.9553,28,700
783,water,L-BI10B,Litoral de Hondarribia. Bottom,43.3967,-1.8021,28,700
785,water,L-D10B,Litoral de Deba. Bottom,43.3266,-2.3525,28,700
795,water,L-O10B,Litoral de Orio. Bottom,43.3054,-2.1356,28,699
781,water,L-B20B,Litoral de Bakio. Bottom,43.4474,-2.8033,28,699
803,water,L-OK10B,Litoral de Mundaka. Bottom,43.4409,-2.7016,28,698
787,water,L-L10B,Litoral de Elantxobe (Kai Arri). Bottom,43.4026,-2.5851,28,698
721,water,E-N30HB,Abra Exterior. High Tide. Bottom,43.3604,-3.0453,28,696
717,water,E-N20HB,Abra Interior. High Tide. Bottom,43.3382,-3.027,28,690
723,water,E-N30LB,Abra Exterior. Low Tide. Bottom,43.3604,-3.0453,28,684
733,water,E-OI10HB,Lezo. High Tide. Bottom,43.3228,-1.9038,29,670
741,water,E-OI20HB,Pasaia (San Pedro). High Tide. Bottom,43.3263,-1.9212,29,669
735,water,E-OI10LB,Lezo. Low Tide. Bottom,43.3228,-1.9038,29,668
705,water,E-N10HB,Bilbao (Puente de Deusto). High Tide. Bottom,43.2697,-2.939,29,661
559,phytoplankton,E-N15,Barakaldo (Puente de Rontegi),43.2951,-2.974,17,659
563,phytoplankton,E-O10,Orio (Puente de La Autopista),43.2826,-2.1316,17,652
69,invertebrates,E-N17,Leioa (Lamiako),43.3155945,-2.9977186,21,638
645,sediments,L-RF20,,,,0,634
87,invertebrates,L-B20,Litoral de Bakio,43.4474131,-2.8032985,28,633
646,sediments,L-RF30,,,,0,633
777,water,L-A10B,Litoral de Ondarroa. Bottom,43.3359,-2.4025,26,628
71,invertebrates,E-N30,Abra Exterior,43.3604102,-3.045304,28,615
707,water,E-N10LB,Bilbao (Puente de Deusto). Low Tide. Bottom,43.2697,-2.939,29,594
